path,hash_id,documentType
austria/Decisions,878b23452ea5388a93286c28857c6ddd,GDPR
austria/Decisions,ab4775893f0f9b4ca146af1722518864,GDPR
austria/Decisions,62cffc2391087a1c419ba3bdf0990ff0,GDPR
austria/Decisions,62a0d4043cf1a0989449f53269da581d,GDPR
austria/Decisions,0909283a008a7814d4814a19851a0fad,GDPR
austria/Decisions,49d6634d3a8608fead0126b795821b2d,GDPR
austria/Decisions,c4e56c865d09a7c00adb289e3dd09cbe,GDPR
austria/Decisions,3c3c335bad76590062cc13a4b838bc7b,GDPR
austria/Decisions,25c07d0c04f0cfb2c5711b904e7e9230,GDPR
austria/Decisions,a2f7004e7bb85118b48cb3e0090702fb,GDPR
austria/Decisions,0626b43d9cac941e34137e2334dc5d4b,GDPR
austria/Decisions,a4a2102b16ce459c8edf156a1e42713b,GDPR
austria/Decisions,92b2f0d3e9bc15ff2e64738fb71bf960,needProcess
austria/Decisions,21382ae12da61892c8d38ab7bcacad83,GDPR
austria/Decisions,047eb2831ade8fad73666feda6f88161,GDPR
austria/Decisions,a77b66c3b480ceb9738a7a45e95002f0,GDPR
austria/Decisions,c3d3f069ae006f761da639e6b12f3d76,GDPR
austria/Decisions,c8b51619e1d9349fac7adde48a718d47,GDPR
austria/Decisions,28cdd3135eebba2352a43223c3c41f8b,GDPR
austria/Decisions,8908ccfb2e35349a00a5a4ebaa980654,needProcess
austria/Decisions,7b4cbd7423510085bcb8249d9003386f,needProcess
austria/Decisions,7bb786e317101b65a0ea2f81c26a5837,GDPR
austria/Decisions,fc1e7411d3064806ee91c3e1bae5b0fd,GDPR
austria/Decisions,1e32a034c9e05181616590a76667f769,GDPR
austria/Decisions,99494450e38da7557ecb963ffa8c8884,GDPR
austria/Decisions,f5578f193545d4910d1be3698c930f74,GDPR
austria/Decisions,310b575eee952d18f93b2aaf471303f4,GDPR
austria/Decisions,b2ba497d3e6b4ce72b9ed095a4d19b1f,GDPR
austria/Decisions,294530245ef335f494c3871ab9934e87,GDPR
austria/Decisions,640a704a104e43015c8942915ae14257,GDPR
austria/Decisions,06d6ecc92dc7d7ad6d8f1b3a01894de1,GDPR
austria/Decisions,03b38820317ba4d6c0b876a46c334a55,GDPR
austria/Decisions,81574fcb97169e35192c16be21593d06,GDPR
austria/Decisions,a1f954335de9a045a8f7dc2639a28ebb,GDPR
austria/Decisions,8446c267693c7793ad6944a0169bf846,needProcess
austria/Decisions,4dc903d8b53d70f678dc6441476ee0f6,GDPR
austria/Decisions,d64d439930fce70e590cf541e699d6d4,GDPR
austria/Decisions,e6bdc9441952eabb28daa8221c29b991,GDPR
austria/Decisions,d7811ba04640359fc0891b02b416e10d,needProcess
austria/Decisions,5a4530ca34cf6935d88ee8ea02e90b13,GDPR
austria/Decisions,343844db1d42b6bf5c4a305e7c5ecff8,GDPR
austria/Decisions,86b003306153b043e567761d8b9c7923,GDPR
austria/Decisions,bf21cc084358ed6992fb74024e5eaf1f,GDPR
austria/Decisions,3a8ab811b7e8a1e19a3ab2cc8d6e15fe,GDPR
austria/Decisions,07a9d392eb30e0523af873daff1bd206,needProcess
austria/Decisions,de7399a73e4c0c3e9317964e0ccd5220,GDPR
austria/Decisions,0c3a993022a0aca8aba6915a4119bf44,needProcess
austria/Decisions,e7e994b777072c8290c156ca7be5d1c3,GDPR
austria/Decisions,fbff3dac679acde29f4c9f14d01c704d,GDPR
austria/Decisions,8ce0ea6c2345bb5c883820acb656a784,needProcess
austria/Decisions,c8617b925ee5b3031886366ba52afbbe,GDPR
austria/Decisions,a5b760279ad4f7b21b5cfeea081567b7,GDPR
austria/Decisions,cfdef42a22e7c1c0f1bbd91bdd8060dd,GDPR
austria/Decisions,c189f46882421f3a60e7aa72f0244671,GDPR
austria/Decisions,9b01dc64a9cf1abee7100a4292bb3d63,GDPR
austria/Decisions,694f1fb50bcccb4b67256950bc162cfb,GDPR
austria/Decisions,0f740dc978759362e41d168400ff8c73,needProcess
austria/Decisions,5a7eb31d88ce57804da5163564135765,GDPR
austria/Decisions,e3c31f9e6fb91e3a24db6b7835b7a6ff,GDPR
austria/Decisions,207d8557cfa21947518e725aaa94e9b5,GDPR
austria/Decisions,a2107dafb4aa3ac30c1f07ed4f75dc97,GDPR
austria/Decisions,94f70879ff9f98d5e22b1ba25e83f476,GDPR
austria/Decisions,73d9db43435e5a49a95ae12e72d09d2d,GDPR
austria/Decisions,e9aab28411b24ada4b1a4296d3f0efdd,GDPR
austria/Decisions,a55c58b1dfb7bd04bb1f1e2e81595cf4,GDPR
austria/Decisions,3261b7540051253b12c9941506f9f9ca,GDPR
austria/Decisions,122ea9f9d903d0850abb8da6abadecd3,GDPR
austria/Decisions,a63e94961ed0fb482ff334ffedc0b0cb,GDPR
austria/Decisions,266cc846c6e0be5c7bde217c4c423808,GDPR
austria/Decisions,f4b6ae96b14b80ba5161d28fdcc0166c,GDPR
austria/Decisions,0a98beb45f0ece806afe277c4da136e1,needProcess
austria/Decisions,724dc1e388c3fccfae6c2d54210318d6,GDPR
austria/Decisions,f7acd962d938f4620ec7954b02057998,GDPR
austria/Decisions,e959be9410e201c031e802e5812ad5f9,GDPR
austria/Decisions,1b1f404b9d01cf6aa1585b00890739a3,GDPR
austria/Decisions,03808e751afc493a091ac68447d37111,GDPR
austria/Decisions,47db100666587c0139fb762a76af28b6,GDPR
austria/Decisions,7e277640557028adafc650750793541e,GDPR
austria/Decisions,c3d4cd066ecf0d4ff73e3993bfab634b,GDPR
austria/Decisions,49d2c00e6cd417c3851c655f3c4d3a46,GDPR
austria/Decisions,d0682a866c0073e1b2c4d2864ddbc4c4,GDPR
austria/Decisions,41fa08b978f6f75e061dacb81d62c5db,GDPR
austria/Decisions,111b922298b7e98909793d8b19a63e48,GDPR
austria/Decisions,e152eb02c637a80ff6e1342f1414332c,GDPR
austria/Decisions,76356442b5a2f39ee428ac3981d916dd,needProcess
austria/Decisions,87f38cfbbee5ef02b742693b53cd8660,GDPR
austria/Decisions,f743c57461352ac359797acdbddc3bbf,needProcess
austria/Decisions,8e4cc27436fa730063edfb84259cdf5a,GDPR
austria/Decisions,b879b2fc6474c61b9cc0cf5c45f8b3ed,GDPR
austria/Decisions,2c49ef108d91d5ca2594c21b38058e79,GDPR
austria/Decisions,401194a6214ad990df0426018fc1f431,GDPR
austria/Decisions,1ca3908bab6df000d70d8305d394cc13,GDPR
austria/Decisions,5f984ee478a88108c09f3ca71a934837,GDPR
austria/Decisions,ea76511ff38fbe733fb0181e5f04bd1d,needProcess
austria/Decisions,e7a434be5633c3b9f15c7d320198fab2,GDPR
austria/Decisions,775ab432126d714c5b9702e30de26d04,needProcess
austria/Decisions,f84f406259f7f2e3b9633eb88ce7ac3c,GDPR
austria/Decisions,a47f66a0c773e8344f104cd486b77322,GDPR
austria/Decisions,c7a0d818c59362e9aa54914e27ba407a,needProcess
austria/Decisions,6577d1aa23a18b3f13318ae99d7adf33,GDPR
austria/Decisions,0967e22950fc35065f03f5e98388fd09,GDPR
austria/Decisions,6e747ce53e10256e680114d361330f03,GDPR
austria/Decisions,fb716f35a3e9313efb43f3d0768eaed0,GDPR
austria/Decisions,d99507c8708bce41874cd348361be19f,GDPR
austria/Decisions,32d6d6dd280ada7d294be3603567630e,GDPR
austria/Decisions,5623fb562f7803a36818403ff9efffff,GDPR
austria/Decisions,4a8d6870aeb63c005658ff457a50d70a,GDPR
austria/Decisions,4d03d87d4a3cb5acb32b3eb3fe8a7edf,GDPR
austria/Decisions,1ece7bc16ec6616660a87101a3f95ba2,GDPR
austria/Decisions,599b49a5764273e0965642bdb603772f,GDPR
austria/Decisions,7ddea06c3c7c6d06eebd947af64fe89c,GDPR
austria/Decisions,75227559a364c64653453b7368007077,GDPR
austria/Decisions,c8f6f31d70200b8c5f27edcac39b9c70,GDPR
austria/Decisions,fc13549cfde5de5b0903c14cac45fcbe,GDPR
austria/Decisions,d443d359251df85be33fdb09cb8e6039,GDPR
austria/Decisions,83250c8f38136735b327dd151dd5b173,GDPR
austria/Decisions,94f5061e80cf4374aa22715dfb697c3e,GDPR
austria/Decisions,9cd0ca59bcd62f7cd2475f46c6d30ab7,GDPR
austria/Decisions,f039df8fde71703a83f096a680d1b7b6,GDPR
austria/Decisions,a42e187bc5a1176f437452c9e18a363c,GDPR
austria/Decisions,9d2cf3aef5390bdc4eae33b2bfea01c4,GDPR
austria/Decisions,6e6e128db62589d7da714c599b1ac13e,GDPR
austria/Decisions,21a234aac5eba1746f7328cad2737117,GDPR
austria/Decisions,e5702edc88d067dc85a6265ceea60414,GDPR
austria/Decisions,f5c0d3a40f5695ef7cc1152d020c3424,GDPR
austria/Decisions,7c268eaa5274eff1a3de9cbf94484134,GDPR
austria/Decisions,7b0505982755fbe1197638b02b8f3219,GDPR
austria/Decisions,715fd822fd44eb85c64b51c328231e75,GDPR
austria/Decisions,65da15c3701cffee54629a4449119984,GDPR
austria/Decisions,be42e34b64179e31691afd60c37fc285,needProcess
austria/Decisions,23116db20aa769a9a6276ffc56d0eabe,needProcess
austria/Decisions,3b3f2a4c8ca271e6be24e6e1a464a68e,needProcess
austria/Decisions,863300fe88c0b777380eb3f3bfb215ea,GDPR
austria/Decisions,7db9c10fcf69af876a6693dbe3b319eb,needProcess
austria/Decisions,c083eb061fcc5081d1ae90bf41e41d52,GDPR
austria/Decisions,1718756f902c341c35bae6954a5c133d,GDPR
austria/Decisions,cbcfcf3a2ae26e01ddad098005eed51c,needProcess
austria/Decisions,2388e60c83b6cf55d2459fd3d224b482,GDPR
austria/Decisions,0f0543b2addfa2efbd8b17358a412e39,GDPR
austria/Decisions,fe9e6f9c87795e5f41d5940e77564cf7,GDPR
austria/Decisions,263436bcd848ca5c11620ef43f275e88,GDPR
austria/Decisions,aeb0c1eb077a921ec5bf16bf2bbc4856,GDPR
austria/Decisions,a57409d939e8e071a34315f18d1ca7af,GDPR
austria/Decisions,f92c4cf16a9a3ea0c140985f5f541ef3,GDPR
austria/Decisions,aaeace4504eb4985dbf6c97809caff16,GDPR
austria/Decisions,297c13098fbd20c19cdafb37bdaf011a,GDPR
austria/Decisions,84b433d4356fe2ec3d9ba8ec5af3948d,GDPR
austria/Decisions,2530a449bae0baf358d69bdd1715b864,GDPR
austria/Decisions,a6ebf8593eb88858cc8affbb48d553ed,GDPR
austria/Decisions,36a3ea5684c700cfdc9d44be971a1316,GDPR
austria/Decisions,7f68fb02fcd6fdba8555c2ccc9c5f7fe,GDPR
austria/Decisions,60850c8c7e62301829b6b3484584231f,needProcess
austria/Decisions,1850d80572f8d478f9022507048132de,GDPR
austria/Decisions,2e89f21bd003abc77de2508922517ef4,needProcess
austria/Decisions,99a042b7d0217511aff3b0b85845fa0f,GDPR
austria/Decisions,ebfad367c6eaf8e8efe12bd2a718b814,GDPR
austria/Decisions,943947411a6d23e0f1816050462ef856,GDPR
austria/Decisions,8d707d931588c5f352aa445a19564306,GDPR
austria/Decisions,cd56853f0e164e368370b4d575b48eaa,GDPR
austria/Decisions,f668e4c98db0d08d8d0b84bac37e8e98,GDPR
austria/Decisions,5d4887a3c6c081c7a70576269fb9ee11,needProcess
austria/Decisions,f37186ab746067c4826933c3031fc20d,GDPR
austria/Decisions,f229a8dee7c54ed2c037270302816cbf,GDPR
austria/Decisions,1a01f6d26293eb480c0144c4bfb39cba,GDPR
austria/Decisions,4d48cd840835e82f14145a657379a9db,GDPR
austria/Decisions,3c5c194f37702d7245c0af7392e79ef0,GDPR
austria/Decisions,7cb77a712a650f6c2ac0221c5c4e59ed,GDPR
austria/Decisions,9ba99e677523ebc2cf4faec1921ae96d,GDPR
austria/Decisions,650d7933a8531c0afe4d4e7f9fd75ba6,GDPR
austria/Decisions,ba673902ed97b561abe8165607383495,GDPR
austria/Decisions,1bb262de094aba76874c7703c0688cfb,GDPR
austria/Decisions,8c2152a5abf4d8246019b8e4e7cae829,GDPR
austria/Decisions,2d74f0c06bec68e1636c82865d3d5221,GDPR
austria/Decisions,ba8ba8462e85c3ab3ec6884054da336b,GDPR
austria/Decisions,b9c5f76c8ed12d94fc78996ef3fa69a1,GDPR
austria/Decisions,e9a1ee41ffa2bd220e1012f9082e7999,GDPR
austria/Decisions,17871db932914b1d7f0473231b8f7d0e,GDPR
austria/Decisions,65074bb7d7debf64ad95dccc51f03049,GDPR
austria/Decisions,a5f1441fc6f443d67abd6e6551991c4a,GDPR
austria/Decisions,562b3719f7da583b14168dfcfbddbde0,GDPR
austria/Decisions,4d06adfb184c31d7ce44ae23c404b05e,GDPR
austria/Decisions,950fc06b25768c60265eb741c5db42f6,GDPR
austria/Decisions,9aec73498095d8882226903a511a1e98,GDPR
austria/Decisions,7951a21ab04e945ffb549699aaf4e3b2,GDPR
austria/Decisions,ad2f701244f28c072e0ea63a282876c5,GDPR
austria/Decisions,7529d19b9a69187c058e13063776a53a,GDPR
austria/Decisions,a0f7fd44869ce3329e3ccf381fa69adb,GDPR
austria/Decisions,e1566a02e95a47caa67931a643e5cba1,GDPR
austria/Decisions,d3171a069b5cca1a4c10d45568804778,GDPR
austria/Decisions,2a31edc526bda033b0bc07ac7bdb1cdd,GDPR
austria/Decisions,1a25296d986e910c3172e61eafb1cb35,GDPR
austria/Decisions,cf670b3dd47a35692d36587d03b5d9c8,GDPR
austria/Decisions,ffdaf453d73c2dd7a57ff54597900874,needProcess
austria/Decisions,25e5586beeb94c528e01d6358d976ede,GDPR
austria/Decisions,023d538279432429c1901090ebe4749e,GDPR
austria/Decisions,6995d55653ab4f83460f45697d579c82,GDPR
austria/Decisions,738319529cb0843ffab252caf691604c,GDPR
austria/Decisions,79aa81d111caf9ab2d1cd317e28a9d62,GDPR
austria/Decisions,1829bbb23907ef2018f04fd9ae41e262,needProcess
austria/Decisions,d4aeadc4178ccc6f941b4e399a54de35,needProcess
austria/Decisions,223974b68c89a6667a05c535fce79e88,needProcess
austria/Decisions,7d1163f39b0dbbc56e70089dea4fb976,GDPR
austria/Decisions,bfb64dfef25e49ff8c275e01c349afa3,GDPR
austria/Decisions,5fbdb635a8991a0e33dec22d7f73982c,GDPR
belgium/Decisions,b9fbf54808114db5410d9769972359af,GDPR
belgium/Decisions,a14ee1292ffb671edef82a037a3e72b6,GDPR
belgium/Decisions,9822a673472e65c71c520aa354df1f3d,GDPR
belgium/Decisions,610a59aad03e55b925af36b2883be4a4,GDPR
belgium/Decisions,c21ffbed09c1cd6af3e3252914c2c7b9,GDPR
belgium/Decisions,cbd1f6a1a19aff8f9d555655aff4da37,GDPR
belgium/Decisions,47b710bf64b45fed31fa5af118ee2fe0,needProcess
belgium/Decisions,942471dbc0cbc66027c7458d2def56d6,GDPR
belgium/Decisions,d9d0f15a82450488a80a58edb30b5f24,GDPR
belgium/Decisions,2233f3fbe5baff7e455a19410908dee2,needProcess
belgium/Decisions,d9deb48e702da143ede8bdb5a24f459c,GDPR
belgium/Decisions,ad3820e1188485d4eddbed3c3cb8cff5,needProcess
belgium/Decisions,633feb6babc4285a5617f8aa512fe388,needProcess
belgium/Decisions,0f3c7368ea3c075a6258a4538ba591ff,needProcess
belgium/Decisions,157b69cf2affe96638a0d097985cf3d6,GDPR
belgium/Decisions,d0cc7780f32e3e8925a95c0f22abac9e,GDPR
belgium/Decisions,fed23f71e2ad14cf1aed3cc98fa842b7,GDPR
belgium/Decisions,b909452424218dd09b11d55d6479549e,needProcess
belgium/Decisions,ae4aced3530a7db22c1be530f3261ec2,needProcess
belgium/Decisions,d2c581797fec0517727fab9769d46787,GDPR
belgium/Decisions,9d70380d9790ad9d3bf1245d160b9c1f,GDPR
belgium/Decisions,d8b72ac9882b517760c5f9ef5b96636a,needProcess
belgium/Decisions,d8012162ed856fc95f4f8f2cbc518734,GDPR
belgium/Decisions,af5767ce66266314b06947d20f7817d4,GDPR
belgium/Decisions,a7a67fb9f529ecf18922784c57f63f7a,GDPR
belgium/Decisions,7ad863efa4db63f39f767e3a3404e124,GDPR
belgium/Decisions,d3529fe16be13d663222c74399e0a59f,GDPR
belgium/Decisions,0479132ff53924a65213416acecb549f,GDPR
belgium/Decisions,5dd4983196bd3524be85b72d262a1cc6,needProcess
belgium/Decisions,783255becbd12eb5973cb4e81676fe86,GDPR
belgium/Decisions,0b7e8ba2621cde6a7ed71ee3b602c7c1,GDPR
belgium/Decisions,cf78f7085d7e53c7a79d67fb45a46a07,needProcess
belgium/Decisions,de1900c2dc72547dfdabd166d0440e13,GDPR
belgium/Decisions,9a9c153dd66c0f63b84931ddb84bdd4b,needProcess
belgium/Decisions,dd5a5192279ce4aa548a63c62a3de12f,GDPR
belgium/Decisions,d65b09c20664f6c45f6c3d2947fb784a,GDPR
belgium/Decisions,4d5037fe19960e0b505810c9710d3dc4,needProcess
belgium/Decisions,b273dc6b1bfbe9fe74fa6c686426b3fb,needProcess
belgium/Decisions,c9ee0c86e1f49e43227d301879619867,needProcess
belgium/Decisions,676bdab964b1778a489a3da6ed2eb845,non-GDPR
belgium/Decisions,f0b1265648a339f176982783a1733048,GDPR
belgium/Decisions,e84493002495d0b7c833f4937955f9a9,needProcess
belgium/Decisions,c91d8f9fcccd0fecf81e6e36c94fbcb0,needProcess
belgium/Decisions,d99aca55b0784fbf1fc762db6fdfa365,GDPR
belgium/Decisions,bd8c968c738e12e43b23b33362b3facf,needProcess
belgium/Decisions,fbb61ad5789d97a7dc9ab60aa37a741a,GDPR
belgium/Decisions,21d6cdba59f2c7c105c0820de27637f3,GDPR
belgium/Decisions,fa7c189ddcc06efd4230d8f97761eb5f,needProcess
belgium/Decisions,33c3664453e0dacf1f030dcd64e82125,GDPR
belgium/Decisions,5b83dc831011088371b46e98126f6cd6,GDPR
belgium/Decisions,afd4aea3c9b39e4f658e8f5e57ddc31b,needProcess
belgium/Decisions,498a7a6654339f0d41905261b46fb297,GDPR
belgium/Decisions,9c58ecf411c1143ab423318e643ab544,GDPR
